COUNTRY;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14
Austria;75;10;72;82;18;44;51;11;2,67;37114;1,4596;1,54;5,5;40,4
Belgium;77;24;74;84;14;43;47;22;2,17;42686;1,3049;1,15;5,2;49,6
Bulgaria;45;17;40;54;46;7;25;3;0,53;11902;0,5155;0,69;3,4;32,7
Croatia;61;14;56;61;39;17;17;18;0,74;6847;0,577;1,5;3,8;29,8
Cyprus;57;23;56;59;41;21;29;7;0,45;917;0,3093;0,96;0,7;47,1
Czech Republic;67;20;63;76;24;30;42;26;1,54;30682;1,0823;1,47;9,9;35,9
Denmark;90;5;84;92;7;70;81;23;2,94;39181;2,0486;1,78;5,5;52,1
Estonia;69;58;65;80;20;20;53;11;2,31;4511;0,8556;2,02;4,4;47,3
Finland;84;22;81;91;9;62;68;17;3,62;40003;2,0931;1,95;5,3;52,6
France;76;31;70;82;18;53;57;11;2,19;249247;1,3874;1,45;4,8;47,4
Greece;50;13;45;55;45;18;27;6;0,68;24674;0,7611;0,58;1,4;33,7
Spain;63;20;61;71;29;27;38;11;1,33;130235;0,9239;1,48;3,8;40,1
Netherlands;94;8;83;93;7;69;62;19;1,88;61335;1,3258;1,63;2,5;51,8
Ireland;78;12;65;79;21;43;44;23;1,55;15269;0,99;0,97;5;50,3
Lithuania;60;18;56;66;34;16;29;21;0,9;8390;0,769;0,95;1,7;43,6
Luxembourg;91;5;68;92;8;65;60;15;1,42;2831;2,2183;1,37;0,7;57,3
Latvia;64;52;59;73;27;20;41;9;0,72;3947;0,541;0,36;1,3;38,2
Malta;75;6;75;70;30;45;37;16;0,67;746;0,7744;0,5;4,2;35,3
Germany;83;24;78;84;16;64;50;20;2,81;338689;1,4462;1,95;9,8;44,8
Poland;67;22;61;67;33;30;28;8;0,75;64133;0,5169;0,7;4,8;36,6
Portugal;58;31;57;59;41;18;37;16;1,46;44056;0,992;0,89;2,9;26,9
Romania;47;50;31;46;54;6;7;4;0,5;16080;0,3794;0,68;4,7;25,4
Slovakia;71;19;55;80;20;37;48;13;0,66;15326;0,661;1,09;9,7;33,9
Slovenia;73;50;67;71;29;31;46;11;2,41;8774;1,5439;1,16;8,2;42,4
Sweden;91;18;86;95;5;71;74;24;3,19;48702;1,6201;1,56;4,6;51,7
Hungary;63;42;59;71;29;22;38;10;1,18;23019;0,7838;0,59;8,7;34,6
United Kingdom;83;16;80;89;11;71;40;15;1,65;251358;1,1513;1,2;3,8;52,4
Italy;62;12;52;60;39;15;22;4;1,2;106151;0,9457;1,13;5,8;34,6
